LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-May-2024 16:59:01,0                 
Time,Ampl
-5.0000039e-06,0.231585
-4.9999039e-06,0.232422
-4.9998039e-06,0.232422
-4.9997039e-06,0.232422
-4.9996039e-06,0.232701
-4.9995039e-06,0.234236
-4.9994039e-06,0.237165
-4.9993039e-06,0.24135
-4.9992039e-06,0.245815
-4.9991039e-06,0.249861
-4.9990039e-06,0.252651
-4.9989039e-06,0.253906
-4.9988039e-06,0.253488
-4.9987039e-06,0.252093
-4.9986039e-06,0.250279
-4.9985039e-06,0.249302
-4.9984039e-06,0.249302
-4.9983039e-06,0.250977
-4.9982039e-06,0.253627
-4.9981039e-06,0.256975
-4.9980039e-06,0.259766
-4.9979039e-06,0.262137
-4.9978039e-06,0.263532
-4.9977039e-06,0.264648
-4.9976039e-06,0.265765
-4.9975039e-06,0.267718
-4.9974039e-06,0.270229
-4.9973039e-06,0.273438
-4.9972039e-06,0.276088
-4.9971039e-06,0.27832
-4.9970039e-06,0.279576
-4.9969039e-06,0.280413
-4.9968039e-06,0.280552
-4.9967039e-06,0.280413
-4.9966039e-06,0.279855
-4.9965039e-06,0.279855
-4.9964039e-06,0.280692
-4.9963039e-06,0.283203
-4.9962039e-06,0.286272
-4.9961039e-06,0.289621
-4.9960039e-06,0.291853
-4.9959039e-06,0.293108
-4.9958039e-06,0.293248
-4.9957039e-06,0.293387
-4.9956039e-06,0.293527
-4.9955039e-06,0.294224
-4.9954039e-06,0.294922
-4.9953039e-06,0.296038
-4.9952039e-06,0.297154
-4.9951039e-06,0.298828
-4.9950039e-06,0.300642
-4.9949039e-06,0.302734
-4.9948039e-06,0.303711
-4.9947039e-06,0.303292
-4.9946039e-06,0.301339
-4.9945039e-06,0.299526
-4.9944039e-06,0.298549
-4.9943039e-06,0.299805
-4.9942039e-06,0.302455
-4.9941039e-06,0.305664
-4.9940039e-06,0.307757
-4.9939039e-06,0.308315
-4.9938039e-06,0.307338
-4.9937039e-06,0.306501
-4.9936039e-06,0.306362
-4.9935039e-06,0.307617
-4.9934039e-06,0.309431
-4.9933039e-06,0.311523
-4.9932039e-06,0.31264
-4.9931039e-06,0.313477
-4.9930039e-06,0.314174
-4.9929039e-06,0.315988
-4.9928039e-06,0.31822
-4.9927039e-06,0.320731
-4.9926039e-06,0.321708
-4.9925039e-06,0.321289
-4.9924039e-06,0.319196
-4.9923039e-06,0.316825
-4.9922039e-06,0.315011
-4.9921039e-06,0.314593
-4.9920039e-06,0.315151
-4.9919039e-06,0.316267
-4.9918039e-06,0.316685
-4.9917039e-06,0.316267
-4.9916039e-06,0.314314
-4.9915039e-06,0.311942
-4.9914039e-06,0.309291
-4.9913039e-06,0.307757
-4.9912039e-06,0.307059
-4.9911039e-06,0.307338
-4.9910039e-06,0.307617
-4.9909039e-06,0.30678
-4.9908039e-06,0.303153
-4.9907039e-06,0.296317
-4.9906039e-06,0.285714
-4.9905039e-06,0.272879
-4.9904039e-06,0.25865
-4.9903039e-06,0.244141
-4.9902039e-06,0.228655
-4.9901039e-06,0.210798
-4.9900039e-06,0.188198
-4.9899039e-06,0.159877
-4.9898039e-06,0.125558
-4.9897039e-06,0.086635
-4.9896039e-06,0.0440848
-4.9895039e-06,-0.00139509
-4.9894039e-06,-0.0498047
-4.9893039e-06,-0.101283
-4.9892039e-06,-0.155134
-4.9891039e-06,-0.21024
-4.9890039e-06,-0.264648
-4.9889039e-06,-0.317243
-4.9888039e-06,-0.367048
-4.9887039e-06,-0.414202
-4.9886039e-06,-0.458426
-4.9885039e-06,-0.50014
-4.9884039e-06,-0.538923
-4.9883039e-06,-0.575893
-4.9882039e-06,-0.610352
-4.9881039e-06,-0.643555
-4.9880039e-06,-0.674526
-4.9879039e-06,-0.703962
-4.9878039e-06,-0.730608
-4.9877039e-06,-0.75558
-4.9876039e-06,-0.778041
-4.9875039e-06,-0.799665
-4.9874039e-06,-0.819057
-4.9873039e-06,-0.836914
-4.9872039e-06,-0.851563
-4.9871039e-06,-0.864816
-4.9870039e-06,-0.876814
-4.9869039e-06,-0.890486
-4.9868039e-06,-0.905413
-4.9867039e-06,-0.922154
-4.9866039e-06,-0.937361
-4.9865039e-06,-0.950753
-4.9864039e-06,-0.96038
-4.9863039e-06,-0.969308
-4.9862039e-06,-0.978237
-4.9861039e-06,-0.989955
-4.9860039e-06,-1.00251
-4.9859039e-06,-1.01549
-4.9858039e-06,-1.02511
-4.9857039e-06,-1.03209
-4.9856039e-06,-1.0353
-4.9855039e-06,-1.03837
-4.9854039e-06,-1.04143
-4.9853039e-06,-1.04729
-4.9852039e-06,-1.05427
-4.9851039e-06,-1.0632
-4.9850039e-06,-1.07059
-4.9849039e-06,-1.07631
-4.9848039e-06,-1.07715
