LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,17-May-2024 14:49:05,0                 
Time,Ampl
-5.000079e-06,0.639579
-4.999979e-06,0.635463
-4.999879e-06,0.629185
-4.999779e-06,0.62214
-4.999679e-06,0.614188
-4.999579e-06,0.607143
-4.999479e-06,0.600377
-4.999379e-06,0.594448
-4.999279e-06,0.587612
-4.999179e-06,0.580008
-4.999079e-06,0.570592
-4.998979e-06,0.560686
-4.998879e-06,0.549944
-4.998779e-06,0.53976
-4.998679e-06,0.529436
-4.998579e-06,0.51988
-4.998479e-06,0.510324
-4.998379e-06,0.501325
-4.998279e-06,0.491769
-4.998179e-06,0.481655
-4.998079e-06,0.469866
-4.997979e-06,0.457241
-4.997879e-06,0.443848
-4.997779e-06,0.431362
-4.997679e-06,0.419434
-4.997579e-06,0.408412
-4.997479e-06,0.396763
-4.997379e-06,0.384556
-4.997279e-06,0.371303
-4.997179e-06,0.358119
-4.997079e-06,0.344866
-4.996979e-06,0.332031
-4.996879e-06,0.318569
-4.996779e-06,0.304827
-4.996679e-06,0.290806
-4.996579e-06,0.277623
-4.996479e-06,0.265276
-4.996379e-06,0.253557
-4.996279e-06,0.240932
-4.996179e-06,0.226842
-4.996079e-06,0.210728
-4.995979e-06,0.193638
-4.995879e-06,0.176409
-4.995779e-06,0.159947
-4.995679e-06,0.143973
-4.995579e-06,0.128139
-4.995479e-06,0.111956
-4.995379e-06,0.0955636
-4.995279e-06,0.0793806
-4.995179e-06,0.0641044
-4.995079e-06,0.0496652
-4.994979e-06,0.0358538
-4.994879e-06,0.0219029
-4.994779e-06,0.00739397
-4.994679e-06,-0.00774275
-4.994579e-06,-0.023298
-4.994479e-06,-0.0391323
-4.994379e-06,-0.0553153
-4.994279e-06,-0.0716378
-4.994179e-06,-0.0880301
-4.994079e-06,-0.103934
-4.993979e-06,-0.11921
-4.993879e-06,-0.133789
-4.993779e-06,-0.148228
-4.993679e-06,-0.162877
-4.993579e-06,-0.178362
-4.993479e-06,-0.194266
-4.993379e-06,-0.210658
-4.993279e-06,-0.227051
-4.993179e-06,-0.243652
-4.993079e-06,-0.260045
-4.992979e-06,-0.276228
-4.992879e-06,-0.291434
-4.992779e-06,-0.305873
-4.992679e-06,-0.319406
-4.992579e-06,-0.333008
-4.992479e-06,-0.346749
-4.992379e-06,-0.361189
-4.992279e-06,-0.375209
-4.992179e-06,-0.388742
-4.992079e-06,-0.400809
-4.991979e-06,-0.412388
-4.991879e-06,-0.423828
-4.991779e-06,-0.436523
-4.991679e-06,-0.449916
-4.991579e-06,-0.464146
-4.991479e-06,-0.477609
-4.991379e-06,-0.490304
-4.991279e-06,-0.501116
