LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-May-2024 10:56:37,0                 
Time,Ampl
-5.0000172e-06,0.632952
-4.9999172e-06,0.624442
-4.9998172e-06,0.61649
-4.9997172e-06,0.608677
-4.9996172e-06,0.601981
-4.9995172e-06,0.595145
-4.9994172e-06,0.588728
-4.9993172e-06,0.581473
-4.9992172e-06,0.573661
-4.9991172e-06,0.564453
-4.9990172e-06,0.554967
-4.9989172e-06,0.544782
-4.9988172e-06,0.535017
-4.9987172e-06,0.524972
-4.9986172e-06,0.515206
-4.9985172e-06,0.504604
-4.9984172e-06,0.493443
-4.9983172e-06,0.481306
-4.9982172e-06,0.469587
-4.9981172e-06,0.458147
-4.9980172e-06,0.448103
-4.9979172e-06,0.438198
-4.9978172e-06,0.428292
-4.9977172e-06,0.416853
-4.9976172e-06,0.404157
-4.9975172e-06,0.390206
-4.9974172e-06,0.376395
-4.9973172e-06,0.363002
-4.9972172e-06,0.350586
-4.9971172e-06,0.337891
-4.9970172e-06,0.324916
-4.9969172e-06,0.310965
-4.9968172e-06,0.297015
-4.9967172e-06,0.283064
-4.9966172e-06,0.269531
-4.9965172e-06,0.25572
-4.9964172e-06,0.241071
-4.9963172e-06,0.224888
-4.9962172e-06,0.207868
-4.9961172e-06,0.190848
-4.9960172e-06,0.175084
-4.9959172e-06,0.160993
-4.9958172e-06,0.148019
-4.9957172e-06,0.134766
-4.9956172e-06,0.119978
-4.9955172e-06,0.103097
-4.9954172e-06,0.08524
-4.9953172e-06,0.0678013
-4.9952172e-06,0.0521763
-4.9951172e-06,0.0387835
-4.9950172e-06,0.0267857
-4.9949172e-06,0.0149275
-4.9948172e-06,0.00195313
-4.9947172e-06,-0.0128348
-4.9946172e-06,-0.0294364
-4.9945172e-06,-0.0475725
-4.9944172e-06,-0.0665458
-4.9943172e-06,-0.0851005
-4.9942172e-06,-0.102539
-4.9941172e-06,-0.117885
-4.9940172e-06,-0.131278
-4.9939172e-06,-0.143276
-4.9938172e-06,-0.155692
-4.9937172e-06,-0.169503
-4.9936172e-06,-0.185407
-4.9935172e-06,-0.202009
-4.9934172e-06,-0.218331
-4.9933172e-06,-0.233817
-4.9932172e-06,-0.249302
-4.9931172e-06,-0.265067
-4.9930172e-06,-0.28125
-4.9929172e-06,-0.296456
-4.9928172e-06,-0.310268
-4.9927172e-06,-0.322405
-4.9926172e-06,-0.334821
-4.9925172e-06,-0.348354
-4.9924172e-06,-0.363839
-4.9923172e-06,-0.379883
-4.9922172e-06,-0.395647
-4.9921172e-06,-0.409598
-4.9920172e-06,-0.422433
-4.9919172e-06,-0.434012
-4.9918172e-06,-0.445452
-4.9917172e-06,-0.456613
-4.9916172e-06,-0.468331
-4.9915172e-06,-0.480469
-4.9914172e-06,-0.493862
-4.9913172e-06,-0.507394
-4.9912172e-06,-0.521345
-4.9911172e-06,-0.533901
-4.9910172e-06,-0.545201
-4.9909172e-06,-0.554409
-4.9908172e-06,-0.563198
-4.9907172e-06,-0.571568
-4.9906172e-06,-0.581473
-4.9905172e-06,-0.591936
-4.9904172e-06,-0.603237
-4.9903172e-06,-0.613421
-4.9902172e-06,-0.622907
-4.9901172e-06,-0.63072
-4.9900172e-06,-0.638253
-4.9899172e-06,-0.64481
-4.9898172e-06,-0.651507
-4.9897172e-06,-0.657366
-4.9896172e-06,-0.663365
-4.9895172e-06,-0.668666
-4.9894172e-06,-0.674386
-4.9893172e-06,-0.679269
-4.9892172e-06,-0.684152
-4.9891172e-06,-0.688477
-4.9890172e-06,-0.693638
-4.9889172e-06,-0.698661
-4.9888172e-06,-0.703823
-4.9887172e-06,-0.70731
-4.9886172e-06,-0.709821
-4.9885172e-06,-0.710798
-4.9884172e-06,-0.712333
-4.9883172e-06,-0.713728
-4.9882172e-06,-0.716099
-4.9881172e-06,-0.717773
-4.9880172e-06,-0.719448
-4.9879172e-06,-0.720145
-4.9878172e-06,-0.720843
-4.9877172e-06,-0.720006
-4.9876172e-06,-0.718192
-4.9875172e-06,-0.714146
-4.9874172e-06,-0.709821
-4.9873172e-06,-0.705078
-4.9872172e-06,-0.70159
-4.9871172e-06,-0.698521
-4.9870172e-06,-0.69615
-4.9869172e-06,-0.692941
-4.9868172e-06,-0.689174
-4.9867172e-06,-0.683873
-4.9866172e-06,-0.678153
-4.9865172e-06,-0.671177
-4.9864172e-06,-0.664063
-4.9863172e-06,-0.655552
-4.9862172e-06,-0.647182
-4.9861172e-06,-0.638672
-4.9860172e-06,-0.631557
-4.9859172e-06,-0.624861
-4.9858172e-06,-0.618862
-4.9857172e-06,-0.611886
-4.9856172e-06,-0.604213
-4.9855172e-06,-0.594727
-4.9854172e-06,-0.584263
-4.9853172e-06,-0.571987
-4.9852172e-06,-0.559152
-4.9851172e-06,-0.54548
-4.9850172e-06,-0.532924
-4.9849172e-06,-0.521345
-4.9848172e-06,-0.511858
-4.9847172e-06,-0.503488
-4.9846172e-06,-0.496373
-4.9845172e-06,-0.4887
-4.9844172e-06,-0.480329
-4.9843172e-06,-0.470564
-4.9842172e-06,-0.46024
-4.9841172e-06,-0.449219
-4.9840172e-06,-0.438058
-4.9839172e-06,-0.425502
-4.9838172e-06,-0.411551
-4.9837172e-06,-0.395926
-4.9836172e-06,-0.379743
-4.9835172e-06,-0.3637
-4.9834172e-06,-0.349191
-4.9833172e-06,-0.336356
-4.9832172e-06,-0.325474
-4.9831172e-06,-0.314732
-4.9830172e-06,-0.303292
-4.9829172e-06,-0.2899
-4.9828172e-06,-0.275391
-4.9827172e-06,-0.260184
-4.9826172e-06,-0.245815
-4.9825172e-06,-0.232422
-4.9824172e-06,-0.220285
-4.9823172e-06,-0.208426
-4.9822172e-06,-0.19615
-4.9821172e-06,-0.182059
-4.9820172e-06,-0.166295
-4.9819172e-06,-0.149275
-4.9818172e-06,-0.132813
-4.9817172e-06,-0.117746
-4.9816172e-06,-0.104492
-4.9815172e-06,-0.0919364
-4.9814172e-06,-0.0788225
-4.9813172e-06,-0.0638951
-4.9812172e-06,-0.047433
-4.9811172e-06,-0.0305525
-4.9810172e-06,-0.0139509
-4.9809172e-06,0.00209263
-4.9808172e-06,0.0181362
-4.9807172e-06,0.0344587
-4.9806172e-06,0.0511998
-4.9805172e-06,0.0675223
-4.9804172e-06,0.0831473
-4.9803172e-06,0.0979353
-4.9802172e-06,0.112723
-4.9801172e-06,0.128348
-4.9800172e-06,0.145089
-4.9799172e-06,0.162109
-4.9798172e-06,0.178711
-4.9797172e-06,0.194057
-4.9796172e-06,0.208287
-4.9795172e-06,0.220982
-4.9794172e-06,0.232701
-4.9793172e-06,0.243583
-4.9792172e-06,0.255162
-4.9791172e-06,0.268136
-4.9790172e-06,0.283622
-4.9789172e-06,0.300781
-4.9788172e-06,0.318778
-4.9787172e-06,0.335658
-4.9786172e-06,0.350725
-4.9785172e-06,0.363281
-4.9784172e-06,0.374442
-4.9783172e-06,0.384487
-4.9782172e-06,0.395089
-4.9781172e-06,0.40625
-4.9780172e-06,0.418945
-4.9779172e-06,0.43192
-4.9778172e-06,0.445034
-4.9777172e-06,0.456752
-4.9776172e-06,0.467773
-4.9775172e-06,0.478097
-4.9774172e-06,0.489397
-4.9773172e-06,0.500977
-4.9772172e-06,0.512835
-4.9771172e-06,0.523438
-4.9770172e-06,0.533064
-4.9769172e-06,0.540737
-4.9768172e-06,0.547991
-4.9767172e-06,0.554827
-4.9766172e-06,0.562779
-4.9765172e-06,0.571847
-4.9764172e-06,0.582589
-4.9763172e-06,0.593471
-4.9762172e-06,0.603795
-4.9761172e-06,0.611747
-4.9760172e-06,0.618164
-4.9759172e-06,0.622907
-4.9758172e-06,0.627651
-4.9757172e-06,0.631975
-4.9756172e-06,0.636858
-4.9755172e-06,0.640904
-4.9754172e-06,0.64495
-4.9753172e-06,0.648438
-4.9752172e-06,0.652762
-4.9751172e-06,0.656948
-4.9750172e-06,0.66183
-4.9749172e-06,0.665737
-4.9748172e-06,0.669364
-4.9747172e-06,0.671736
