LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,15-May-2024 15:28:36,0                 
Time,Ampl
-5.0000629e-06,0.304269
-4.9999629e-06,0.304129
-4.9998629e-06,0.303153
-4.9997629e-06,0.301479
-4.9996629e-06,0.300642
-4.9995629e-06,0.301339
-4.9994629e-06,0.30399
-4.9993629e-06,0.307059
-4.9992629e-06,0.309152
-4.9991629e-06,0.308873
-4.9990629e-06,0.30692
-4.9989629e-06,0.304129
-4.9988629e-06,0.302595
-4.9987629e-06,0.302874
-4.9986629e-06,0.305385
-4.9985629e-06,0.308873
-4.9984629e-06,0.31264
-4.9983629e-06,0.315848
-4.9982629e-06,0.318638
-4.9981629e-06,0.320731
-4.9980629e-06,0.322963
-4.9979629e-06,0.324916
-4.9978629e-06,0.327148
-4.9977629e-06,0.329241
-4.9976629e-06,0.331752
-4.9975629e-06,0.334263
-4.9974629e-06,0.337612
-4.9973629e-06,0.341797
-4.9972629e-06,0.347517
-4.9971629e-06,0.353795
-4.9970629e-06,0.359933
-4.9969629e-06,0.364537
-4.9968629e-06,0.367467
-4.9967629e-06,0.369001
-4.9966629e-06,0.370675
-4.9965629e-06,0.372907
-4.9964629e-06,0.376535
-4.9963629e-06,0.380301
-4.9962629e-06,0.383929
-4.9961629e-06,0.386579
-4.9960629e-06,0.388951
-4.9959629e-06,0.390625
-4.9958629e-06,0.39216
-4.9957629e-06,0.393136
-4.9956629e-06,0.394392
-4.9955629e-06,0.395787
-4.9954629e-06,0.398438
-4.9953629e-06,0.402204
-4.9952629e-06,0.407366
-4.9951629e-06,0.412528
-4.9950629e-06,0.417271
-4.9949629e-06,0.42048
-4.9948629e-06,0.422573
-4.9947629e-06,0.423131
-4.9946629e-06,0.42341
-4.9945629e-06,0.423131
-4.9944629e-06,0.423131
-4.9943629e-06,0.422852
-4.9942629e-06,0.422573
-4.9941629e-06,0.422015
-4.9940629e-06,0.422015
-4.9939629e-06,0.422573
-4.9938629e-06,0.424107
-4.9937629e-06,0.425223
-4.9936629e-06,0.425642
-4.9935629e-06,0.424247
-4.9934629e-06,0.422294
-4.9933629e-06,0.419922
-4.9932629e-06,0.418527
-4.9931629e-06,0.41755
-4.9930629e-06,0.417132
-4.9929629e-06,0.416434
-4.9928629e-06,0.416155
-4.9927629e-06,0.416016
-4.9926629e-06,0.416853
-4.9925629e-06,0.417411
-4.9924629e-06,0.41755
