LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,17-May-2024 22:28:43,0                 
Time,Ampl
-5.0000709e-06,-0.15053
-4.9999709e-06,-0.143276
-4.9998709e-06,-0.135324
-4.9997709e-06,-0.127093
-4.9996709e-06,-0.120117
-4.9995709e-06,-0.114955
-4.9994709e-06,-0.111886
-4.9993709e-06,-0.109375
-4.9992709e-06,-0.105887
-4.9991709e-06,-0.100307
-4.9990709e-06,-0.092913
-4.9989709e-06,-0.0845424
-4.9988709e-06,-0.0767299
-4.9987709e-06,-0.0708705
-4.9986709e-06,-0.0673828
-4.9985709e-06,-0.0658482
-4.9984709e-06,-0.0650112
-4.9983709e-06,-0.0631975
-4.9982709e-06,-0.0592913
-4.9981709e-06,-0.0530134
-4.9980709e-06,-0.0456194
-4.9979709e-06,-0.038644
-4.9978709e-06,-0.0337612
-4.9977709e-06,-0.031529
-4.9976709e-06,-0.030971
-4.9975709e-06,-0.0302734
-4.9974709e-06,-0.0277623
-4.9973709e-06,-0.0226004
-4.9972709e-06,-0.0154855
-4.9971709e-06,-0.00823103
-4.9970709e-06,-0.00251116
-4.9969709e-06,0.000837054
-4.9968709e-06,0.00237165
-4.9967709e-06,0.00334821
-4.9966709e-06,0.00516183
-4.9965709e-06,0.00892857
-4.9964709e-06,0.0147879
-4.9963709e-06,0.0216239
-4.9962709e-06,0.0280413
-4.9961709e-06,0.0323661
-4.9960709e-06,0.0339007
-4.9959709e-06,0.0326451
-4.9958709e-06,0.0301339
-4.9957709e-06,0.0283203
-4.9956709e-06,0.0290179
-4.9955709e-06,0.0326451
-4.9954709e-06,0.0385045
-4.9953709e-06,0.0445034
-4.9952709e-06,0.0492467
-4.9951709e-06,0.0518973
-4.9950709e-06,0.0534319
-4.9949709e-06,0.0546875
-4.9948709e-06,0.0565011
-4.9947709e-06,0.0584542
-4.9946709e-06,0.0597098
-4.9945709e-06,0.0598493
-4.9944709e-06,0.0590123
-4.9943709e-06,0.0578962
-4.9942709e-06,0.0573382
-4.9941709e-06,0.0580357
-4.9940709e-06,0.0601284
-4.9939709e-06,0.063058
-4.9938709e-06,0.0661272
-4.9937709e-06,0.0680804
-4.9936709e-06,0.0680804
-4.9935709e-06,0.0661272
-4.9934709e-06,0.0631975
-4.9933709e-06,0.0612444
-4.9932709e-06,0.0618025
-4.9931709e-06,0.0652902
-4.9930709e-06,0.0705915
-4.9929709e-06,0.0757534
-4.9928709e-06,0.0791016
-4.9927709e-06,0.0796596
-4.9926709e-06,0.0779855
-4.9925709e-06,0.0753348
-4.9924709e-06,0.0733817
-4.9923709e-06,0.0729632
-4.9922709e-06,0.0746373
-4.9921709e-06,0.0777065
-4.9920709e-06,0.0810547
-4.9919709e-06,0.0834263
-4.9918709e-06,0.0841239
-4.9917709e-06,0.0835659
-4.9916709e-06,0.0828683
-4.9915709e-06,0.0828683
-4.9914709e-06,0.0839844
-4.9913709e-06,0.086077
-4.9912709e-06,0.0883092
-4.9911709e-06,0.0898438
-4.9910709e-06,0.0902623
-4.9909709e-06,0.0895647
-4.9908709e-06,0.0885882
-4.9907709e-06,0.0881696
-4.9906709e-06,0.0894252
-4.9905709e-06,0.0924944
-4.9904709e-06,0.0972377
-4.9903709e-06,0.10226
-4.9902709e-06,0.106027
-4.9901709e-06,0.107143
-4.9900709e-06,0.105887
-4.9899709e-06,0.103097
-4.9898709e-06,0.100586
-4.9897709e-06,0.0991909
-4.9896709e-06,0.0991909
-4.9895709e-06,0.100167
-4.9894709e-06,0.101702
-4.9893709e-06,0.103516
-4.9892709e-06,0.10519
-4.9891709e-06,0.105887
-4.9890709e-06,0.10519
-4.9889709e-06,0.1024
-4.9888709e-06,0.0980748
-4.9887709e-06,0.0930525
-4.9886709e-06,0.0891462
-4.9885709e-06,0.0871931
-4.9884709e-06,0.0876116
-4.9883709e-06,0.0897042
-4.9882709e-06,0.0920759
-4.9881709e-06,0.0930525
-4.9880709e-06,0.0916574
-4.9879709e-06,0.0871931
-4.9878709e-06,0.0809152
-4.9877709e-06,0.0744978
-4.9876709e-06,0.0700335
-4.9875709e-06,0.0683594
-4.9874709e-06,0.0689174
-4.9873709e-06,0.0691964
-4.9872709e-06,0.0672433
-4.9871709e-06,0.0618025
-4.9870709e-06,0.05399
-4.9869709e-06,0.0454799
-4.9868709e-06,0.0382254
-4.9867709e-06,0.0323661
-4.9866709e-06,0.0270647
-4.9865709e-06,0.0207868
-4.9864709e-06,0.0126953
-4.9863709e-06,0.00320871
-4.9862709e-06,-0.00641741
-4.9861709e-06,-0.0152065
-4.9860709e-06,-0.0231585
-4.9859709e-06,-0.0316685
-4.9858709e-06,-0.0422712
-4.9857709e-06,-0.0556641
-4.9856709e-06,-0.0714286
-4.9855709e-06,-0.0876116
-4.9854709e-06,-0.102679
-4.9853709e-06,-0.115653
-4.9852709e-06,-0.127093
-4.9851709e-06,-0.138114
-4.9850709e-06,-0.150112
-4.9849709e-06,-0.163504
-4.9848709e-06,-0.178292
-4.9847709e-06,-0.193778
-4.9846709e-06,-0.209263
-4.9845709e-06,-0.223912
-4.9844709e-06,-0.237863
-4.9843709e-06,-0.250837
-4.9842709e-06,-0.263811
-4.9841709e-06,-0.277483
-4.9840709e-06,-0.292829
-4.9839709e-06,-0.309291
-4.9838709e-06,-0.32659
-4.9837709e-06,-0.343192
-4.9836709e-06,-0.359236
-4.9835709e-06,-0.374302
-4.9834709e-06,-0.389369
-4.9833709e-06,-0.404297
-4.9832709e-06,-0.419364
-4.9831709e-06,-0.432757
-4.9830709e-06,-0.444057
-4.9829709e-06,-0.452706
-4.9828709e-06,-0.460519
-4.9827709e-06,-0.468611
-4.9826709e-06,-0.478934
-4.9825709e-06,-0.491071
-4.9824709e-06,-0.504743
-4.9823709e-06,-0.517718
-4.9822709e-06,-0.529855
-4.9821709e-06,-0.540179
-4.9820709e-06,-0.549805
-4.9819709e-06,-0.558454
-4.9818709e-06,-0.566825
-4.9817709e-06,-0.574079
-4.9816709e-06,-0.580776
-4.9815709e-06,-0.586217
-4.9814709e-06,-0.591518
-4.9813709e-06,-0.595703
-4.9812709e-06,-0.600167
-4.9811709e-06,-0.604353
-4.9810709e-06,-0.609794
-4.9809709e-06,-0.615234
-4.9808709e-06,-0.621233
-4.9807709e-06,-0.625698
-4.9806709e-06,-0.628767
-4.9805709e-06,-0.629464
-4.9804709e-06,-0.629464
-4.9803709e-06,-0.628767
-4.9802709e-06,-0.629046
-4.9801709e-06,-0.628906
-4.9800709e-06,-0.628767
-4.9799709e-06,-0.626814
-4.9798709e-06,-0.623884
-4.9797709e-06,-0.619838
-4.9796709e-06,-0.616769
-4.9795709e-06,-0.614258
-4.9794709e-06,-0.613281
-4.9793709e-06,-0.612584
-4.9792709e-06,-0.613002
-4.9791709e-06,-0.613142
-4.9790709e-06,-0.613281
-4.9789709e-06,-0.611468
-4.9788709e-06,-0.607701
-4.9787709e-06,-0.601144
-4.9786709e-06,-0.593611
-4.9785709e-06,-0.585379
-4.9784709e-06,-0.578823
-4.9783709e-06,-0.573382
-4.9782709e-06,-0.569475
-4.9781709e-06,-0.56529
-4.9780709e-06,-0.560407
-4.9779709e-06,-0.553711
-4.9778709e-06,-0.546456
-4.9777709e-06,-0.538365
-4.9776709e-06,-0.530831
-4.9775709e-06,-0.523438
-4.9774709e-06,-0.516602
-4.9773709e-06,-0.509068
-4.9772709e-06,-0.500698
-4.9771709e-06,-0.490653
-4.9770709e-06,-0.479911
-4.9769709e-06,-0.46889
-4.9768709e-06,-0.459403
-4.9767709e-06,-0.45173
-4.9766709e-06,-0.446568
-4.9765709e-06,-0.442243
-4.9764709e-06,-0.43764
-4.9763709e-06,-0.431083
-4.9762709e-06,-0.423131
-4.9761709e-06,-0.414202
-4.9760709e-06,-0.40639
-4.9759709e-06,-0.400112
-4.9758709e-06,-0.395368
-4.9757709e-06,-0.390206
-4.9756709e-06,-0.38365
-4.9755709e-06,-0.374581
-4.9754709e-06,-0.364676
-4.9753709e-06,-0.355469
-4.9752709e-06,-0.349051
-4.9751709e-06,-0.344866
-4.9750709e-06,-0.341797
-4.9749709e-06,-0.337472
-4.9748709e-06,-0.330915
-4.9747709e-06,-0.321568
-4.9746709e-06,-0.310965
-4.9745709e-06,-0.300223
-4.9744709e-06,-0.290876
-4.9743709e-06,-0.283203
-4.9742709e-06,-0.277623
-4.9741709e-06,-0.273438
-4.9740709e-06,-0.270508
-4.9739709e-06,-0.267718
-4.9738709e-06,-0.264509
-4.9737709e-06,-0.259347
-4.9736709e-06,-0.252372
-4.9735709e-06,-0.243304
-4.9734709e-06,-0.233398
-4.9733709e-06,-0.223214
-4.9732709e-06,-0.213728
-4.9731709e-06,-0.205078
-4.9730709e-06,-0.197963
-4.9729709e-06,-0.191964
-4.9728709e-06,-0.187221
-4.9727709e-06,-0.182896
-4.9726709e-06,-0.178153
-4.9725709e-06,-0.172154
-4.9724709e-06,-0.1649
-4.9723709e-06,-0.156808
-4.9722709e-06,-0.148856
-4.9721709e-06,-0.141881
-4.9720709e-06,-0.13644
-4.9719709e-06,-0.131836
-4.9718709e-06,-0.127093
-4.9717709e-06,-0.120675
