LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-May-2024 08:58:06,0                 
Time,Ampl
-5.0000455e-06,0.631138
-4.9999455e-06,0.631836
-4.9998455e-06,0.632254
-4.9997455e-06,0.631975
-4.9996455e-06,0.632394
-4.9995455e-06,0.633092
-4.9994455e-06,0.634905
-4.9993455e-06,0.636161
-4.9992455e-06,0.637277
-4.9991455e-06,0.636579
-4.9990455e-06,0.634766
-4.9989455e-06,0.631557
-4.9988455e-06,0.628906
-4.9987455e-06,0.627232
-4.9986455e-06,0.628069
-4.9985455e-06,0.630301
-4.9984455e-06,0.63365
-4.9983455e-06,0.636021
-4.9982455e-06,0.637556
-4.9981455e-06,0.637277
-4.9980455e-06,0.636579
-4.9979455e-06,0.635463
-4.9978455e-06,0.634905
-4.9977455e-06,0.633929
-4.9976455e-06,0.632673
-4.9975455e-06,0.630022
-4.9974455e-06,0.627372
-4.9973455e-06,0.624582
-4.9972455e-06,0.624023
-4.9971455e-06,0.625
-4.9970455e-06,0.627511
-4.9969455e-06,0.628906
-4.9968455e-06,0.628767
-4.9967455e-06,0.626116
-4.9966455e-06,0.623047
-4.9965455e-06,0.620675
-4.9964455e-06,0.620675
-4.9963455e-06,0.621512
-4.9962455e-06,0.621931
-4.9961455e-06,0.618583
-4.9960455e-06,0.611049
-4.9959455e-06,0.598772
-4.9958455e-06,0.583845
-4.9957455e-06,0.566964
-4.9956455e-06,0.549526
-4.9955455e-06,0.530273
-4.9954455e-06,0.50865
-4.9953455e-06,0.48284
-4.9952455e-06,0.453265
-4.9951455e-06,0.419922
-4.9950455e-06,0.384626
-4.9949455e-06,0.347796
-4.9948455e-06,0.310826
-4.9947455e-06,0.273298
-4.9946455e-06,0.236049
-4.9945455e-06,0.198382
-4.9944455e-06,0.160854
-4.9943455e-06,0.123047
-4.9942455e-06,0.0853795
-4.9941455e-06,0.0479911
-4.9940455e-06,0.0117188
-4.9939455e-06,-0.0231585
-4.9938455e-06,-0.0569196
-4.9937455e-06,-0.0901228
-4.9936455e-06,-0.123884
-4.9935455e-06,-0.158482
-4.9934455e-06,-0.193778
-4.9933455e-06,-0.228237
-4.9932455e-06,-0.2613
-4.9931455e-06,-0.291853
-4.9930455e-06,-0.320173
-4.9929455e-06,-0.346122
-4.9928455e-06,-0.370257
-4.9927455e-06,-0.391741
-4.9926455e-06,-0.411133
-4.9925455e-06,-0.427874
-4.9924455e-06,-0.44308
-4.9923455e-06,-0.456473
-4.9922455e-06,-0.469308
-4.9921455e-06,-0.480748
-4.9920455e-06,-0.491629
-4.9919455e-06,-0.501116
-4.9918455e-06,-0.510045
-4.9917455e-06,-0.51716
-4.9916455e-06,-0.523577
-4.9915455e-06,-0.52832
-4.9914455e-06,-0.532645
-4.9913455e-06,-0.535575
-4.9912455e-06,-0.537807
-4.9911455e-06,-0.538365
-4.9910455e-06,-0.537807
-4.9909455e-06,-0.535435
-4.9908455e-06,-0.532506
-4.9907455e-06,-0.528599
-4.9906455e-06,-0.525251
-4.9905455e-06,-0.521624
-4.9904455e-06,-0.518276
-4.9903455e-06,-0.513532
-4.9902455e-06,-0.507254
-4.9901455e-06,-0.498326
-4.9900455e-06,-0.488281
-4.9899455e-06,-0.477679
-4.9898455e-06,-0.468471
-4.9897455e-06,-0.459961
-4.9896455e-06,-0.45173
-4.9895455e-06,-0.441964
-4.9894455e-06,-0.430943
-4.9893455e-06,-0.418387
-4.9892455e-06,-0.40639
-4.9891455e-06,-0.395089
-4.9890455e-06,-0.385324
-4.9889455e-06,-0.376116
-4.9888455e-06,-0.367467
-4.9887455e-06,-0.358119
-4.9886455e-06,-0.348633
-4.9885455e-06,-0.338449
-4.9884455e-06,-0.328404
-4.9883455e-06,-0.31808
-4.9882455e-06,-0.307478
-4.9881455e-06,-0.295898
-4.9880455e-06,-0.283901
-4.9879455e-06,-0.272042
-4.9878455e-06,-0.26144
-4.9877455e-06,-0.252093
-4.9876455e-06,-0.243722
-4.9875455e-06,-0.234236
-4.9874455e-06,-0.222796
-4.9873455e-06,-0.208705
-4.9872455e-06,-0.193638
-4.9871455e-06,-0.17899
-4.9870455e-06,-0.166295
-4.9869455e-06,-0.155273
-4.9868455e-06,-0.145229
-4.9867455e-06,-0.134766
-4.9866455e-06,-0.123744
-4.9865455e-06,-0.112444
-4.9864455e-06,-0.101423
-4.9863455e-06,-0.0904018
-4.9862455e-06,-0.0789621
-4.9861455e-06,-0.0664063
-4.9860455e-06,-0.0531529
-4.9859455e-06,-0.0400391
-4.9858455e-06,-0.0283203
-4.9857455e-06,-0.0182757
-4.9856455e-06,-0.00976563
-4.9855455e-06,-0.00181362
-4.9854455e-06,0.00669643
-4.9853455e-06,0.0168806
-4.9852455e-06,0.0292969
-4.9851455e-06,0.0432478
-4.9850455e-06,0.0574777
-4.9849455e-06,0.0705915
-4.9848455e-06,0.0820313
-4.9847455e-06,0.0923549
-4.9846455e-06,0.102958
-4.9845455e-06,0.115234
-4.9844455e-06,0.129325
-4.9843455e-06,0.143834
-4.9842455e-06,0.156948
-4.9841455e-06,0.166853
-4.9840455e-06,0.173828
-4.9839455e-06,0.17885
-4.9838455e-06,0.184291
-4.9837455e-06,0.191127
-4.9836455e-06,0.200056
-4.9835455e-06,0.2101
-4.9834455e-06,0.220424
-4.9833455e-06,0.229911
-4.9832455e-06,0.238142
-4.9831455e-06,0.244699
-4.9830455e-06,0.25
-4.9829455e-06,0.254604
-4.9828455e-06,0.260045
-4.9827455e-06,0.26716
-4.9826455e-06,0.276786
-4.9825455e-06,0.287249
-4.9824455e-06,0.297294
-4.9823455e-06,0.305246
-4.9822455e-06,0.311663
-4.9821455e-06,0.317801
-4.9820455e-06,0.325753
-4.9819455e-06,0.3351
-4.9818455e-06,0.344866
-4.9817455e-06,0.35226
-4.9816455e-06,0.356864
-4.9815455e-06,0.359236
-4.9814455e-06,0.362026
-4.9813455e-06,0.36649
