LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-May-2024 16:59:01,0                 
Time,Ampl
-5.0000405e-06,0.499651
-4.9999405e-06,0.490165
-4.9998405e-06,0.48026
-4.9997405e-06,0.469029
-4.9996405e-06,0.45745
-4.9995405e-06,0.445382
-4.9994405e-06,0.433664
-4.9993405e-06,0.421526
-4.9992405e-06,0.409249
-4.9991405e-06,0.396136
-4.9990405e-06,0.382882
-4.9989405e-06,0.36935
-4.9988405e-06,0.356306
-4.9987405e-06,0.343401
-4.9986405e-06,0.330915
-4.9985405e-06,0.31815
-4.9984405e-06,0.305315
-4.9983405e-06,0.292132
-4.9982405e-06,0.279088
-4.9981405e-06,0.265834
-4.9980405e-06,0.252372
-4.9979405e-06,0.237584
-4.9978405e-06,0.22154
-4.9977405e-06,0.204102
-4.9976405e-06,0.186733
-4.9975405e-06,0.17041
-4.9974405e-06,0.15632
-4.9973405e-06,0.144043
-4.9972405e-06,0.132603
-4.9971405e-06,0.120187
-4.9970405e-06,0.105818
-4.9969405e-06,0.0892857
-4.9968405e-06,0.0717773
-4.9967405e-06,0.054548
-4.9966405e-06,0.0385045
-4.9965405e-06,0.0234375
-4.9964405e-06,0.0085798
-4.9963405e-06,-0.00711496
-4.9962405e-06,-0.0240653
-4.9961405e-06,-0.0416434
-4.9960405e-06,-0.0588728
-4.9959405e-06,-0.0748465
-4.9958405e-06,-0.0896345
-4.9957405e-06,-0.103725
-4.9956405e-06,-0.118094
-4.9955405e-06,-0.133161
-4.9954405e-06,-0.148786
-4.9953405e-06,-0.164063
-4.9952405e-06,-0.178711
-4.9951405e-06,-0.192522
-4.9950405e-06,-0.206543
-4.9949405e-06,-0.221052
-4.9948405e-06,-0.236677
-4.9947405e-06,-0.252651
-4.9946405e-06,-0.268903
-4.9945405e-06,-0.284668
-4.9944405e-06,-0.300084
-4.9943405e-06,-0.314662
-4.9942405e-06,-0.328613
-4.9941405e-06,-0.341518
-4.9940405e-06,-0.354353
-4.9939405e-06,-0.367188
-4.9938405e-06,-0.381069
-4.9937405e-06,-0.395508
-4.9936405e-06,-0.410575
-4.9935405e-06,-0.425014
-4.9934405e-06,-0.438756
-4.9933405e-06,-0.450963
-4.9932405e-06,-0.462402
-4.9931405e-06,-0.472796
-4.9930405e-06,-0.483398
-4.9929405e-06,-0.493722
-4.9928405e-06,-0.504743
-4.9927405e-06,-0.515834
-4.9926405e-06,-0.528041
-4.9925405e-06,-0.540527
-4.9924405e-06,-0.553641
-4.9923405e-06,-0.565988
-4.9922405e-06,-0.577706
-4.9921405e-06,-0.587612
-4.9920405e-06,-0.596749
-4.9919405e-06,-0.604632
-4.9918405e-06,-0.612584
-4.9917405e-06,-0.620117
-4.9916405e-06,-0.628139
-4.9915405e-06,-0.635672
-4.9914405e-06,-0.643555
-4.9913405e-06,-0.650739
-4.9912405e-06,-0.658203
-4.9911405e-06,-0.66483
-4.9910405e-06,-0.671666
-4.9909405e-06,-0.677595
-4.9908405e-06,-0.683454
-4.9907405e-06,-0.688198
-4.9906405e-06,-0.693011
-4.9905405e-06,-0.697056
-4.9904405e-06,-0.701521
-4.9903405e-06,-0.705357
-4.9902405e-06,-0.709333
-4.9901405e-06,-0.711914
-4.9900405e-06,-0.714007
-4.9899405e-06,-0.714774
-4.9898405e-06,-0.71589
-4.9897405e-06,-0.716588
-4.9896405e-06,-0.717843
-4.9895405e-06,-0.718192
-4.9894405e-06,-0.718052
-4.9893405e-06,-0.716239
-4.9892405e-06,-0.714356
-4.9891405e-06,-0.712123
-4.9890405e-06,-0.711217
-4.9889405e-06,-0.710589
-4.9888405e-06,-0.71024
-4.9887405e-06,-0.707868
-4.9886405e-06,-0.703613
-4.9885405e-06,-0.696708
-4.9884405e-06,-0.689523
-4.9883405e-06,-0.682408
-4.9882405e-06,-0.677246
-4.9881405e-06,-0.672642
-4.9880405e-06,-0.668597
-4.9879405e-06,-0.663016
-4.9878405e-06,-0.656459
-4.9877405e-06,-0.648438
-4.9876405e-06,-0.640695
-4.9875405e-06,-0.632673
-4.9874405e-06,-0.625279
-4.9873405e-06,-0.617327
-4.9872405e-06,-0.609375
-4.9871405e-06,-0.600377
-4.9870405e-06,-0.591309
-4.9869405e-06,-0.581264
-4.9868405e-06,-0.571219
-4.9867405e-06,-0.560617
-4.9866405e-06,-0.550642
-4.9865405e-06,-0.540946
-4.9864405e-06,-0.532506
-4.9863405e-06,-0.524275
-4.9862405e-06,-0.516253
-4.9861405e-06,-0.506627
-4.9860405e-06,-0.495605
-4.9859405e-06,-0.48291
-4.9858405e-06,-0.470354
-4.9857405e-06,-0.458078
-4.9856405e-06,-0.447056
-4.9855405e-06,-0.436035
-4.9854405e-06,-0.424735
-4.9853405e-06,-0.41204
-4.9852405e-06,-0.398717
-4.9851405e-06,-0.384905
-4.9850405e-06,-0.37214
-4.9849405e-06,-0.360142
-4.9848405e-06,-0.349261
-4.9847405e-06,-0.3381
-4.9846405e-06,-0.326311
-4.9845405e-06,-0.312988
-4.9844405e-06,-0.298758
-4.9843405e-06,-0.283552
-4.9842405e-06,-0.268415
-4.9841405e-06,-0.253209
-4.9840405e-06,-0.238491
-4.9839405e-06,-0.223842
-4.9838405e-06,-0.209473
-4.9837405e-06,-0.195103
-4.9836405e-06,-0.180943
-4.9835405e-06,-0.166713
-4.9834405e-06,-0.152414
-4.9833405e-06,-0.137207
-4.9832405e-06,-0.121094
-4.9831405e-06,-0.103934
-4.9830405e-06,-0.0867746
-4.9829405e-06,-0.0703125
-4.9828405e-06,-0.0553153
-4.9827405e-06,-0.0413644
-4.9826405e-06,-0.0276925
-4.9825405e-06,-0.0133929
-4.9824405e-06,0.00188337
-4.9823405e-06,0.0177874
-4.9822405e-06,0.0338309
-4.9821405e-06,0.0494559
-4.9820405e-06,0.0646624
-4.9819405e-06,0.0794503
-4.9818405e-06,0.094308
-4.9817405e-06,0.109445
-4.9816405e-06,0.12514
-4.9815405e-06,0.141113
-4.9814405e-06,0.157227
-4.9813405e-06,0.172852
-4.9812405e-06,0.187779
-4.9811405e-06,0.20166
-4.9810405e-06,0.214914
-4.9809405e-06,0.227679
-4.9808405e-06,0.240653
-4.9807405e-06,0.253767
-4.9806405e-06,0.267369
-4.9805405e-06,0.281111
-4.9804405e-06,0.29548
-4.9803405e-06,0.310547
-4.9802405e-06,0.326939
-4.9801405e-06,0.34389
-4.9800405e-06,0.360631
-4.9799405e-06,0.375209
-4.9798405e-06,0.387137
-4.9797405e-06,0.396136
-4.9796405e-06,0.404018
-4.9795405e-06,0.412109
-4.9794405e-06,0.422503
-4.9793405e-06,0.435059
-4.9792405e-06,0.449777
-4.9791405e-06,0.464635
-4.9790405e-06,0.478795
-4.9789405e-06,0.490653
-4.9788405e-06,0.500837
-4.9787405e-06,0.509138
-4.9786405e-06,0.51716
-4.9785405e-06,0.524833
-4.9784405e-06,0.533412
-4.9783405e-06,0.542062
-4.9782405e-06,0.551339
-4.9781405e-06,0.560128
-4.9780405e-06,0.569057
-4.9779405e-06,0.577148
-4.9778405e-06,0.585379
-4.9777405e-06,0.592913
-4.9776405e-06,0.600656
-4.9775405e-06,0.60791
-4.9774405e-06,0.615513
-4.9773405e-06,0.622349
-4.9772405e-06,0.628767
-4.9771405e-06,0.63351
-4.9770405e-06,0.637486
-4.9769405e-06,0.640276
-4.9768405e-06,0.643624
-4.9767405e-06,0.647252
-4.9766405e-06,0.652135
-4.9765405e-06,0.656878
-4.9764405e-06,0.661551
-4.9763405e-06,0.66469
-4.9762405e-06,0.667201
-4.9761405e-06,0.668666
-4.9760405e-06,0.67055
-4.9759405e-06,0.671945
-4.9758405e-06,0.673619
-4.9757405e-06,0.673968
-4.9756405e-06,0.673828
-4.9755405e-06,0.672573
-4.9754405e-06,0.672015
-4.9753405e-06,0.671666
-4.9752405e-06,0.672503
-4.9751405e-06,0.672642
-4.9750405e-06,0.672363
-4.9749405e-06,0.670201
-4.9748405e-06,0.667271
-4.9747405e-06,0.663295
-4.9746405e-06,0.659808
-4.9745405e-06,0.65618
-4.9744405e-06,0.65332
-4.9743405e-06,0.649693
-4.9742405e-06,0.645857
-4.9741405e-06,0.640625
-4.9740405e-06,0.634975
-4.9739405e-06,0.628139
-4.9738405e-06,0.621373
-4.9737405e-06,0.614049
-4.9736405e-06,0.607492
-4.9735405e-06,0.600935
-4.9734405e-06,0.595285
-4.9733405e-06,0.589216
-4.9732405e-06,0.583008
-4.9731405e-06,0.575126
-4.9730405e-06,0.566267
-4.9729405e-06,0.555943
-4.9728405e-06,0.54548
-4.9727405e-06,0.534738
-4.9726405e-06,0.524833
-4.9725405e-06,0.515067
-4.9724405e-06,0.505929
-4.9723405e-06,0.496373
-4.9722405e-06,0.486886
-4.9721405e-06,0.476772
-4.9720405e-06,0.466867
-4.9719405e-06,0.456473
-4.9718405e-06,0.44608
-4.9717405e-06,0.43457
-4.9716405e-06,0.422294
-4.9715405e-06,0.408482
-4.9714405e-06,0.394322
-4.9713405e-06,0.379953
-4.9712405e-06,0.366629
-4.9711405e-06,0.354074
-4.9710405e-06,0.342355
-4.9709405e-06,0.330287
-4.9708405e-06,0.317453
-4.9707405e-06,0.303083
-4.9706405e-06,0.287737
-4.9705405e-06,0.271833
-4.9704405e-06,0.256487
-4.9703405e-06,0.241839
-4.9702405e-06,0.228237
-4.9701405e-06,0.214774
-4.9700405e-06,0.201172
-4.9699405e-06,0.186733
-4.9698405e-06,0.171666
-4.9697405e-06,0.15611
-4.9696405e-06,0.140695
-4.9695405e-06,0.125419
-4.9694405e-06,0.110491
-4.9693405e-06,0.0957031
-4.9692405e-06,0.0810547
-4.9691405e-06,0.0664063
-4.9690405e-06,0.0515486
-4.9689405e-06,0.0361328
-4.9688405e-06,0.020159
-4.9687405e-06,0.00390625
-4.9686405e-06,-0.012207
-4.9685405e-06,-0.027832
-4.9684405e-06,-0.0431083
-4.9683405e-06,-0.0583845
-4.9682405e-06,-0.074149
-4.9681405e-06,-0.090332
-4.9680405e-06,-0.106585
-4.9679405e-06,-0.122349
-4.9678405e-06,-0.137556
-4.9677405e-06,-0.152414
-4.9676405e-06,-0.16762
-4.9675405e-06,-0.183036
-4.9674405e-06,-0.198521
-4.9673405e-06,-0.213449
-4.9672405e-06,-0.227958
-4.9671405e-06,-0.242118
-4.9670405e-06,-0.256975
-4.9669405e-06,-0.272391
-4.9668405e-06,-0.288504
-4.9667405e-06,-0.304339
-4.9666405e-06,-0.319685
-4.9665405e-06,-0.333915
-4.9664405e-06,-0.347587
-4.9663405e-06,-0.360631
-4.9662405e-06,-0.373814
-4.9661405e-06,-0.386789
-4.9660405e-06,-0.400112
-4.9659405e-06,-0.413365
-4.9658405e-06,-0.427176
-4.9657405e-06,-0.440848
-4.9656405e-06,-0.454729
-4.9655405e-06,-0.467704
-4.9654405e-06,-0.48012
-4.9653405e-06,-0.49156
-4.9652405e-06,-0.503348
-4.9651405e-06,-0.515346
-4.9650405e-06,-0.52853
-4.9649405e-06,-0.541504
-4.9648405e-06,-0.55406
-4.9647405e-06,-0.564383
-4.9646405e-06,-0.573033
-4.9645405e-06,-0.580008
-4.9644405e-06,-0.587542
-4.9643405e-06,-0.596052
-4.9642405e-06,-0.606724
-4.9641405e-06,-0.617606
-4.9640405e-06,-0.628069
-4.9639405e-06,-0.635882
-4.9638405e-06,-0.641602
-4.9637405e-06,-0.645299
-4.9636405e-06,-0.649484
-4.9635405e-06,-0.654715
-4.9634405e-06,-0.662458
-4.9633405e-06,-0.670829
-4.9632405e-06,-0.679409
-4.9631405e-06,-0.685826
-4.9630405e-06,-0.690639
-4.9629405e-06,-0.693499
-4.9628405e-06,-0.696568
-4.9627405e-06,-0.699777
-4.9626405e-06,-0.704171
-4.9625405e-06,-0.708008
-4.9624405e-06,-0.711426
-4.9623405e-06,-0.712891
-4.9622405e-06,-0.713658
-4.9621405e-06,-0.713379
-4.9620405e-06,-0.713588
-4.9619405e-06,-0.713379
-4.9618405e-06,-0.713728
-4.9617405e-06,-0.713449
-4.9616405e-06,-0.713449
-4.9615405e-06,-0.712542
-4.9614405e-06,-0.711635
-4.9613405e-06,-0.709542
-4.9612405e-06,-0.70738
-4.9611405e-06,-0.704311
-4.9610405e-06,-0.701521
-4.9609405e-06,-0.697893
-4.9608405e-06,-0.694336
-4.9607405e-06,-0.689453
-4.9606405e-06,-0.684361
-4.9605405e-06,-0.678083
-4.9604405e-06,-0.672015
-4.9603405e-06,-0.665388
-4.9602405e-06,-0.659319
-4.9601405e-06,-0.652762
-4.9600405e-06,-0.646345
-4.9599405e-06,-0.638811
-4.9598405e-06,-0.630999
-4.9597405e-06,-0.622349
-4.9596405e-06,-0.614258
-4.9595405e-06,-0.606236
-4.9594405e-06,-0.599261
-4.9593405e-06,-0.591936
-4.9592405e-06,-0.584473
-4.9591405e-06,-0.575335
-4.9590405e-06,-0.56522
-4.9589405e-06,-0.553432
-4.9588405e-06,-0.541434
-4.9587405e-06,-0.529018
-4.9586405e-06,-0.517648
-4.9585405e-06,-0.506836
-4.9584405e-06,-0.497489
-4.9583405e-06,-0.488421
-4.9582405e-06,-0.479771
-4.9581405e-06,-0.470075
-4.9580405e-06,-0.459403
-4.9579405e-06,-0.447126
-4.9578405e-06,-0.434291
-4.9577405e-06,-0.421177
-4.9576405e-06,-0.40904
-4.9575405e-06,-0.397321
-4.9574405e-06,-0.385951
-4.9573405e-06,-0.373605
-4.9572405e-06,-0.360421
-4.9571405e-06,-0.346191
-4.9570405e-06,-0.331962
-4.9569405e-06,-0.317871
-4.9568405e-06,-0.304408
-4.9567405e-06,-0.291016
-4.9566405e-06,-0.277693
-4.9565405e-06,-0.263951
-4.9564405e-06,-0.25007
-4.9563405e-06,-0.23577
-4.9562405e-06,-0.221261
-4.9561405e-06,-0.206264
-4.9560405e-06,-0.191267
-4.9559405e-06,-0.1762
-4.9558405e-06,-0.161412
-4.9557405e-06,-0.146694
-4.9556405e-06,-0.131975
-4.9555405e-06,-0.116908
-4.9554405e-06,-0.101493
-4.9553405e-06,-0.0858677
-4.9552405e-06,-0.070452
-4.9551405e-06,-0.0555246
-4.9550405e-06,-0.0409459
-4.9549405e-06,-0.0260184
-4.9548405e-06,-0.0101842
-4.9547405e-06,0.00676618
-4.9546405e-06,0.0239955
-4.9545405e-06,0.0405273
-4.9544405e-06,0.0558036
-4.9543405e-06,0.070173
-4.9542405e-06,0.0848214
-4.9541405e-06,0.100377
-4.9540405e-06,0.117048
-4.9539405e-06,0.133789
-4.9538405e-06,0.149902
-4.9537405e-06,0.16469
-4.9536405e-06,0.17885
-4.9535405e-06,0.192801
-4.9534405e-06,0.20745
-4.9533405e-06,0.222447
-4.9532405e-06,0.237514
-4.9531405e-06,0.251535
-4.9530405e-06,0.264579
-4.9529405e-06,0.276437
-4.9528405e-06,0.288504
-4.9527405e-06,0.301549
-4.9526405e-06,0.316825
-4.9525405e-06,0.333566
-4.9524405e-06,0.351004
-4.9523405e-06,0.366908
-4.9522405e-06,0.38065
-4.9521405e-06,0.391532
-4.9520405e-06,0.400949
