LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-May-2024 14:18:20,0                 
Time,Ampl
-5.0000308e-06,1.13239
-4.9999308e-06,1.1356
-4.9998308e-06,1.14035
-4.9997308e-06,1.14551
-4.9996308e-06,1.15276
-4.9995308e-06,1.1596
-4.9994308e-06,1.16657
-4.9993308e-06,1.17118
-4.9992308e-06,1.17494
-4.9991308e-06,1.17662
-4.9990308e-06,1.17871
-4.9989308e-06,1.18025
-4.9988308e-06,1.18304
-4.9987308e-06,1.18555
-4.9986308e-06,1.18945
-4.9985308e-06,1.19266
-4.9984308e-06,1.19671
-4.9983308e-06,1.19922
-4.9982308e-06,1.20145
-4.9981308e-06,1.20159
-4.9980308e-06,1.20131
-4.9979308e-06,1.19908
-4.9978308e-06,1.19727
-4.9977308e-06,1.19503
-4.9976308e-06,1.19475
-4.9975308e-06,1.19448
-4.9974308e-06,1.19503
-4.9973308e-06,1.19378
-4.9972308e-06,1.19155
-4.9971308e-06,1.1868
-4.9970308e-06,1.1822
-4.9969308e-06,1.17732
-4.9968308e-06,1.17453
-4.9967308e-06,1.17188
-4.9966308e-06,1.16992
-4.9965308e-06,1.16616
-4.9964308e-06,1.16211
-4.9963308e-06,1.15639
-4.9962308e-06,1.15137
-4.9961308e-06,1.14579
-4.9960308e-06,1.14063
-4.9959308e-06,1.13295
-4.9958308e-06,1.12305
-4.9957308e-06,1.10798
-4.9956308e-06,1.08901
-4.9955308e-06,1.06459
-4.9954308e-06,1.03585
-4.9953308e-06,1
-4.9952308e-06,0.955776
-4.9951308e-06,0.899135
-4.9950308e-06,0.830357
-4.9949308e-06,0.748326
-4.9948308e-06,0.65639
-4.9947308e-06,0.555525
-4.9946308e-06,0.448382
-4.9945308e-06,0.333566
-4.9944308e-06,0.210938
-4.9943308e-06,0.0788225
-4.9942308e-06,-0.0615234
-4.9941308e-06,-0.208147
-4.9940308e-06,-0.357422
-4.9939308e-06,-0.506278
-4.9938308e-06,-0.652483
-4.9937308e-06,-0.794503
-4.9936308e-06,-0.93178
-4.9935308e-06,-1.06222
-4.9934308e-06,-1.18527
-4.9933308e-06,-1.29785
-4.9932308e-06,-1.40151
-4.9931308e-06,-1.49554
-4.9930308e-06,-1.5844
-4.9929308e-06,-1.66811
-4.9928308e-06,-1.75
-4.9927308e-06,-1.82701
-4.9926308e-06,-1.90123
-4.9925308e-06,-1.96945
-4.9924308e-06,-2.03557
-4.9923308e-06,-2.09766
-4.9922308e-06,-2.1603
-4.9921308e-06,-2.2207
-4.9920308e-06,-2.28181
-4.9919308e-06,-2.33901
-4.9918308e-06,-2.39481
-4.9917308e-06,-2.44531
-4.9916308e-06,-2.49498
-4.9915308e-06,-2.54116
-4.9914308e-06,-2.58831
-4.9913308e-06,-2.63212
-4.9912308e-06,-2.67578
-4.9911308e-06,-2.71401
-4.9910308e-06,-2.74986
-4.9909308e-06,-2.77916
-4.9908308e-06,-2.8065
-4.9907308e-06,-2.82868
-4.9906308e-06,-2.851
-4.9905308e-06,-2.86984
-4.9904308e-06,-2.88965
-4.9903308e-06,-2.90569
-4.9902308e-06,-2.92132
-4.9901308e-06,-2.93066
-4.9900308e-06,-2.93736
-4.9899308e-06,-2.93694
-4.9898308e-06,-2.93443
-4.9897308e-06,-2.92606
-4.9896308e-06,-2.91629
-4.9895308e-06,-2.90053
-4.9894308e-06,-2.88295
-4.9893308e-06,-2.8591
-4.9892308e-06,-2.83426
-4.9891308e-06,-2.80469
-4.9890308e-06,-2.77497
-4.9889308e-06,-2.74009
-4.9888308e-06,-2.70285
-4.9887308e-06,-2.65751
-4.9886308e-06,-2.60784
-4.9885308e-06,-2.55106
-4.9884308e-06,-2.49358
-4.9883308e-06,-2.43415
-4.9882308e-06,-2.37779
-4.9881308e-06,-2.32045
-4.9880308e-06,-2.26465
-4.9879308e-06,-2.20605
-4.9878308e-06,-2.14816
-4.9877308e-06,-2.08845
-4.9876308e-06,-2.03111
-4.9875308e-06,-1.97321
-4.9874308e-06,-1.91769
-4.9873308e-06,-1.86119
-4.9872308e-06,-1.80678
-4.9871308e-06,-1.75167
-4.9870308e-06,-1.6981
-4.9869308e-06,-1.64258
-4.9868308e-06,-1.58664
-4.9867308e-06,-1.5279
-4.9866308e-06,-1.46987
-4.9865308e-06,-1.41253
-4.9864308e-06,-1.35951
-4.9863308e-06,-1.30887
-4.9862308e-06,-1.2613
-4.9861308e-06,-1.21303
-4.9860308e-06,-1.1649
-4.9859308e-06,-1.11509
-4.9858308e-06,-1.06599
-4.9857308e-06,-1.01702
-4.9856308e-06,-0.970285
-4.9855308e-06,-0.924526
-4.9854308e-06,-0.880859
-4.9853308e-06,-0.83803
-4.9852308e-06,-0.796596
-4.9851308e-06,-0.754743
-4.9850308e-06,-0.712612
-4.9849308e-06,-0.668806
-4.9848308e-06,-0.624861
-4.9847308e-06,-0.580915
-4.9846308e-06,-0.539202
-4.9845308e-06,-0.500279
-4.9844308e-06,-0.465123
-4.9843308e-06,-0.432199
-4.9842308e-06,-0.400391
-4.9841308e-06,-0.367327
-4.9840308e-06,-0.332868
-4.9839308e-06,-0.296875
-4.9838308e-06,-0.261579
-4.9837308e-06,-0.228516
-4.9836308e-06,-0.199637
-4.9835308e-06,-0.174526
-4.9834308e-06,-0.151507
-4.9833308e-06,-0.127651
-4.9832308e-06,-0.100725
-4.9831308e-06,-0.0697545
-4.9830308e-06,-0.0364118
-4.9829308e-06,-0.00320871
-4.9828308e-06,0.0276228
-4.9827308e-06,0.0549665
-4.9826308e-06,0.0799386
-4.9825308e-06,0.104074
-4.9824308e-06,0.129185
-4.9823308e-06,0.155273
-4.9822308e-06,0.182199
-4.9821308e-06,0.208845
-4.9820308e-06,0.235212
-4.9819308e-06,0.261161
-4.9818308e-06,0.28697
-4.9817308e-06,0.312081
-4.9816308e-06,0.336914
-4.9815308e-06,0.36091
-4.9814308e-06,0.385045
-4.9813308e-06,0.408901
-4.9812308e-06,0.432896
-4.9811308e-06,0.456194
-4.9810308e-06,0.478934
-4.9809308e-06,0.50014
-4.9808308e-06,0.520787
-4.9807308e-06,0.540737
-4.9806308e-06,0.561523
-4.9805308e-06,0.582171
-4.9804308e-06,0.603237
-4.9803308e-06,0.623186
-4.9802308e-06,0.642718
-4.9801308e-06,0.661272
-4.9800308e-06,0.679967
-4.9799308e-06,0.697963
-4.9798308e-06,0.716239
-4.9797308e-06,0.733398
-4.9796308e-06,0.750558
-4.9795308e-06,0.76702
-4.9794308e-06,0.784319
-4.9793308e-06,0.80106
-4.9792308e-06,0.817941
-4.9791308e-06,0.833008
-4.9790308e-06,0.847377
-4.9789308e-06,0.860212
-4.9788308e-06,0.873186
-4.9787308e-06,0.885324
-4.9786308e-06,0.897182
-4.9785308e-06,0.906669
-4.9784308e-06,0.915039
