LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-May-2024 12:53:21,0                 
Time,Ampl
-4.7220004e-06,0.198661
-4.7219004e-06,0.185128
-4.7218004e-06,0.170898
-4.7217004e-06,0.155831
-4.7216004e-06,0.140346
-4.7215004e-06,0.124302
-4.7214004e-06,0.10784
-4.7213004e-06,0.0908203
-4.7212004e-06,0.0733817
-4.7211004e-06,0.0560826
-4.7210004e-06,0.0396205
-4.7209004e-06,0.0246931
-4.7208004e-06,0.0111607
-4.7207004e-06,-0.00181362
-4.7206004e-06,-0.015904
-4.7205004e-06,-0.031808
-4.7204004e-06,-0.0492467
-4.7203004e-06,-0.0668248
-4.7202004e-06,-0.0831473
-4.7201004e-06,-0.0977958
-4.7200004e-06,-0.111886
-4.7199004e-06,-0.126395
-4.7198004e-06,-0.14216
-4.7197004e-06,-0.158901
-4.7196004e-06,-0.175921
-4.7195004e-06,-0.192243
-4.7194004e-06,-0.207589
-4.7193004e-06,-0.221959
-4.7192004e-06,-0.236049
-4.7191004e-06,-0.249861
-4.7190004e-06,-0.26409
-4.7189004e-06,-0.278599
-4.7188004e-06,-0.294085
-4.7187004e-06,-0.309989
-4.7186004e-06,-0.326172
-4.7185004e-06,-0.341378
-4.7184004e-06,-0.355329
-4.7183004e-06,-0.367467
-4.7182004e-06,-0.378906
-4.7181004e-06,-0.390206
-4.7180004e-06,-0.402623
-4.7179004e-06,-0.415318
-4.7178004e-06,-0.428153
-4.7177004e-06,-0.439872
-4.7176004e-06,-0.451172
-4.7175004e-06,-0.462193
-4.7174004e-06,-0.474609
-4.7173004e-06,-0.488142
-4.7172004e-06,-0.50293
-4.7171004e-06,-0.517299
-4.7170004e-06,-0.530552
-4.7169004e-06,-0.541434
-4.7168004e-06,-0.550781
-4.7167004e-06,-0.558733
-4.7166004e-06,-0.567104
-4.7165004e-06,-0.576172
-4.7164004e-06,-0.587193
-4.7163004e-06,-0.598772
-4.7162004e-06,-0.61091
-4.7161004e-06,-0.621233
-4.7160004e-06,-0.630162
-4.7159004e-06,-0.636719
-4.7158004e-06,-0.642718
-4.7157004e-06,-0.647879
-4.7156004e-06,-0.653599
-4.7155004e-06,-0.65904
-4.7154004e-06,-0.665179
-4.7153004e-06,-0.671317
-4.7152004e-06,-0.678711
-4.7151004e-06,-0.686523
-4.7150004e-06,-0.694615
-4.7149004e-06,-0.700474
-4.7148004e-06,-0.703962
-4.7147004e-06,-0.704102
-4.7146004e-06,-0.703544
-4.7145004e-06,-0.703544
-4.7144004e-06,-0.706334
-4.7143004e-06,-0.7101
-4.7142004e-06,-0.714146
-4.7141004e-06,-0.71582
-4.7140004e-06,-0.716099
-4.7139004e-06,-0.715123
-4.7138004e-06,-0.715123
-4.7137004e-06,-0.715123
-4.7136004e-06,-0.715541
-4.7135004e-06,-0.714425
-4.7134004e-06,-0.71303
-4.7133004e-06,-0.710938
-4.7132004e-06,-0.709542
-4.7131004e-06,-0.707729
-4.7130004e-06,-0.705915
-4.7129004e-06,-0.702288
-4.7128004e-06,-0.697824
-4.7127004e-06,-0.691825
-4.7126004e-06,-0.685686
-4.7125004e-06,-0.678571
-4.7124004e-06,-0.671457
-4.7123004e-06,-0.663365
-4.7122004e-06,-0.655692
-4.7121004e-06,-0.648159
-4.7120004e-06,-0.641881
-4.7119004e-06,-0.635882
-4.7118004e-06,-0.630301
-4.7117004e-06,-0.623605
-4.7116004e-06,-0.616071
-4.7115004e-06,-0.606864
-4.7114004e-06,-0.597377
-4.7113004e-06,-0.587891
-4.7112004e-06,-0.57952
-4.7111004e-06,-0.57115
-4.7110004e-06,-0.562779
-4.7109004e-06,-0.552734
-4.7108004e-06,-0.542132
-4.7107004e-06,-0.530831
-4.7106004e-06,-0.520229
-4.7105004e-06,-0.509487
-4.7104004e-06,-0.498744
-4.7103004e-06,-0.486886
-4.7102004e-06,-0.475028
-4.7101004e-06,-0.463309
-4.7100004e-06,-0.452986
-4.7099004e-06,-0.44308
-4.7098004e-06,-0.433315
-4.7097004e-06,-0.421875
-4.7096004e-06,-0.40918
-4.7095004e-06,-0.395229
-4.7094004e-06,-0.381557
-4.7093004e-06,-0.368164
-4.7092004e-06,-0.355887
-4.7091004e-06,-0.34389
-4.7090004e-06,-0.332171
-4.7089004e-06,-0.319475
-4.7088004e-06,-0.306083
-4.7087004e-06,-0.291434
-4.7086004e-06,-0.276925
-4.7085004e-06,-0.262835
-4.7084004e-06,-0.249861
-4.7083004e-06,-0.237026
-4.7082004e-06,-0.223493
-4.7081004e-06,-0.207868
-4.7080004e-06,-0.19043
-4.7079004e-06,-0.172294
-4.7078004e-06,-0.155134
-4.7077004e-06,-0.140067
-4.7076004e-06,-0.127232
-4.7075004e-06,-0.115374
-4.7074004e-06,-0.103097
-4.7073004e-06,-0.0888672
-4.7072004e-06,-0.0725446
-4.7071004e-06,-0.0549665
-4.7070004e-06,-0.0373884
-4.7069004e-06,-0.0202288
-4.7068004e-06,-0.00390625
-4.7067004e-06,0.0117188
-4.7066004e-06,0.0269252
